year_from_to,quarter,deaths
2011-12,Q1,233
2011-12,Q2,214
2011-12,Q3,238
2011-12,Q4,215
2012-13,Q1,205
2012-13,Q2,238
2012-13,Q3,228
2012-13,Q4,208
2013-14,Q1,190
2013-14,Q2,196
2013-14,Q3,203
2013-14,Q4,183
2014-15,Q1,225
2014-15,Q2,191
2014-15,Q3,213
2014-15,Q4,221
2015-16,Q1,224
2015-16,Q2,190
2015-16,Q3,196
2015-16,Q4,196
2016-17,Q1,213
2016-17,Q2,213
2016-17,Q3,223
2016-17,Q4,224
2017-18,Q1,202
2017-18,Q2,246
2017-18,Q3,216
2017-18,Q4,254
2018-19,Q1,209
2018-19,Q2,228
2018-19,Q3,247
2018-19,Q4,214
2019-20,Q1,231
2019-20,Q2,230
2019-20,Q3,260
2019-20,Q4,263
2020-21,Q1,404
2020-21,Q2,269
2020-21,Q3,327
2020-21,Q4,424
2021-22,Q1,285
2021-22,Q2,287
2021-22,Q3,334
2021-22,Q4,319
2022-23,Q1,296
2022-23,Q2,306
2022-23,Q3,332
2022-23,Q4,333
2023-24,Q1,318
2023-24,Q2,307
2023-24,Q3,338
2023-24,Q4,337
2024-25,Q1,300
2024-25,Q2,315
2024-25,Q3,318
2024-25,Q4,351
2025-26,Q1,289
2025-26,Q2,299
