Staff_group,Reason,SA_rate_pct,Reason_code,Reason_name,Month
Hospital Practitioner / Clinical Assistant,S10 Anxiety/stress/depression/other psychiatric illnesses,42.5,S10,Anxiety/stress/depression/other psychiatric illnesses,2023-04
Managers,S10 Anxiety/stress/depression/other psychiatric illnesses,35,S10,Anxiety/stress/depression/other psychiatric illnesses,2023-04
Senior managers,S10 Anxiety/stress/depression/other psychiatric illnesses,33.8,S10,Anxiety/stress/depression/other psychiatric illnesses,2023-04
Central functions,S10 Anxiety/stress/depression/other psychiatric illnesses,32.9,S10,Anxiety/stress/depression/other psychiatric illnesses,2023-04
Midwives,S10 Anxiety/stress/depression/other psychiatric illnesses,30.3,S10,Anxiety/stress/depression/other psychiatric illnesses,2023-04
Support to ambulance staff,S10 Anxiety/stress/depression/other psychiatric illnesses,28,S10,Anxiety/stress/depression/other psychiatric illnesses,2023-04
Other and Local HCHS Doctor Grades,S10 Anxiety/stress/depression/other psychiatric illnesses,27.8,S10,Anxiety/stress/depression/other psychiatric illnesses,2023-04
NHS infrastructure support,S10 Anxiety/stress/depression/other psychiatric illnesses,27.8,S10,Anxiety/stress/depression/other psychiatric illnesses,2023-04
Support to ST&T staff,S10 Anxiety/stress/depression/other psychiatric illnesses,26.6,S10,Anxiety/stress/depression/other psychiatric illnesses,2023-04
"Scientific, therapeutic & technical staff",S10 Anxiety/stress/depression/other psychiatric illnesses,26,S10,Anxiety/stress/depression/other psychiatric illnesses,2023-04
Support to clinical staff,S10 Anxiety/stress/depression/other psychiatric illnesses,25.8,S10,Anxiety/stress/depression/other psychiatric illnesses,2023-04
All staff groups,S10 Anxiety/stress/depression/other psychiatric illnesses,25.5,S10,Anxiety/stress/depression/other psychiatric illnesses,2023-04
Consultant,S10 Anxiety/stress/depression/other psychiatric illnesses,25.5,S10,Anxiety/stress/depression/other psychiatric illnesses,2023-04
"Support to doctors, nurses & midwives",S10 Anxiety/stress/depression/other psychiatric illnesses,25.4,S10,Anxiety/stress/depression/other psychiatric illnesses,2023-04
Specialty Registrar,S10 Anxiety/stress/depression/other psychiatric illnesses,24.9,S10,Anxiety/stress/depression/other psychiatric illnesses,2023-04
Ambulance staff,S10 Anxiety/stress/depression/other psychiatric illnesses,24.8,S10,Anxiety/stress/depression/other psychiatric illnesses,2023-04
Professionally qualified clinical staff,S10 Anxiety/stress/depression/other psychiatric illnesses,24.5,S10,Anxiety/stress/depression/other psychiatric illnesses,2023-04
Nurses & health visitors,S10 Anxiety/stress/depression/other psychiatric illnesses,23.8,S10,Anxiety/stress/depression/other psychiatric illnesses,2023-04
HCHS doctors,S10 Anxiety/stress/depression/other psychiatric illnesses,22.7,S10,Anxiety/stress/depression/other psychiatric illnesses,2023-04
Foundation Doctor Year 1,S13 Cold Cough Flu - Influenza,22.6,S13,Cold Cough Flu - Influenza,2023-04
Specialty Doctor,S10 Anxiety/stress/depression/other psychiatric illnesses,21.9,S10,Anxiety/stress/depression/other psychiatric illnesses,2023-04
"Hotel, property & estates",S10 Anxiety/stress/depression/other psychiatric illnesses,20.8,S10,Anxiety/stress/depression/other psychiatric illnesses,2023-04
Associate Specialist,S10 Anxiety/stress/depression/other psychiatric illnesses,20.4,S10,Anxiety/stress/depression/other psychiatric illnesses,2023-04
Staff Grade,S10 Anxiety/stress/depression/other psychiatric illnesses,19.9,S10,Anxiety/stress/depression/other psychiatric illnesses,2023-04
Foundation Doctor Year 2,S13 Cold Cough Flu - Influenza,18,S13,Cold Cough Flu - Influenza,2023-04
Core Training,S10 Anxiety/stress/depression/other psychiatric illnesses,17.4,S10,Anxiety/stress/depression/other psychiatric illnesses,2023-04
Foundation Doctor Year 1,S25 Gastrointestinal problems,14.7,S25,Gastrointestinal problems,2023-04
Core Training,S13 Cold Cough Flu - Influenza,14.6,S13,Cold Cough Flu - Influenza,2023-04
Foundation Doctor Year 2,S25 Gastrointestinal problems,14.6,S25,Gastrointestinal problems,2023-04
Other staff or those with unknown classification,S10 Anxiety/stress/depression/other psychiatric illnesses,14.3,S10,Anxiety/stress/depression/other psychiatric illnesses,2023-04
Hospital Practitioner / Clinical Assistant,S98 Other known causes - not elsewhere classified,14.3,S98,Other known causes - not elsewhere classified,2023-04
"Hotel, property & estates",S12 Other musculoskeletal problems,14,S12,Other musculoskeletal problems,2023-04
Foundation Doctor Year 2,S10 Anxiety/stress/depression/other psychiatric illnesses,13.9,S10,Anxiety/stress/depression/other psychiatric illnesses,2023-04
Foundation Doctor Year 1,S10 Anxiety/stress/depression/other psychiatric illnesses,13.5,S10,Anxiety/stress/depression/other psychiatric illnesses,2023-04
Other and Local HCHS Doctor Grades,S98 Other known causes - not elsewhere classified,13.5,S98,Other known causes - not elsewhere classified,2023-04
Associate Specialist,S12 Other musculoskeletal problems,13.4,S12,Other musculoskeletal problems,2023-04
Staff Grade,S19 Heart cardiac & circulatory problems,13.3,S19,Heart cardiac & circulatory problems,2023-04
Other staff or those with unknown classification,S27 Infectious diseases,12.4,S27,Infectious diseases,2023-04
Senior managers,S98 Other known causes - not elsewhere classified,12.3,S98,Other known causes - not elsewhere classified,2023-04
Specialty Doctor,S98 Other known causes - not elsewhere classified,12.1,S98,Other known causes - not elsewhere classified,2023-04
Other staff or those with unknown classification,S98 Other known causes - not elsewhere classified,11.5,S98,Other known causes - not elsewhere classified,2023-04
Staff Grade,S99 Unknown causes / Not specified,11.3,S99,Unknown causes / Not specified,2023-04
Core Training,S25 Gastrointestinal problems,11.1,S25,Gastrointestinal problems,2023-04
"Scientific, therapeutic & technical staff",S13 Cold Cough Flu - Influenza,10.8,S13,Cold Cough Flu - Influenza,2023-04
Consultant,S98 Other known causes - not elsewhere classified,10.8,S98,Other known causes - not elsewhere classified,2023-04
Specialty Registrar,S13 Cold Cough Flu - Influenza,10.7,S13,Cold Cough Flu - Influenza,2023-04
Staff Grade,S28 Injury fracture,10.6,S28,Injury fracture,2023-04
HCHS doctors,S13 Cold Cough Flu - Influenza,10.5,S13,Cold Cough Flu - Influenza,2023-04
Core Training,S98 Other known causes - not elsewhere classified,10.5,S98,Other known causes - not elsewhere classified,2023-04
"Support to doctors, nurses & midwives",S12 Other musculoskeletal problems,10.2,S12,Other musculoskeletal problems,2023-04
HCHS doctors,S98 Other known causes - not elsewhere classified,10.2,S98,Other known causes - not elsewhere classified,2023-04
Nurses & health visitors,S13 Cold Cough Flu - Influenza,10,S13,Cold Cough Flu - Influenza,2023-04
Ambulance staff,S28 Injury fracture,10,S28,Injury fracture,2023-04
Foundation Doctor Year 1,S99 Unknown causes / Not specified,10,S99,Unknown causes / Not specified,2023-04
Professionally qualified clinical staff,S13 Cold Cough Flu - Influenza,9.9,S13,Cold Cough Flu - Influenza,2023-04
Staff Grade,S27 Infectious diseases,9.9,S27,Infectious diseases,2023-04
Support to clinical staff,S12 Other musculoskeletal problems,9.8,S12,Other musculoskeletal problems,2023-04
Specialty Doctor,S13 Cold Cough Flu - Influenza,9.8,S13,Cold Cough Flu - Influenza,2023-04
Ambulance staff,S12 Other musculoskeletal problems,9.5,S12,Other musculoskeletal problems,2023-04
NHS infrastructure support,S12 Other musculoskeletal problems,9.3,S12,Other musculoskeletal problems,2023-04
Staff Grade,S15 Chest & respiratory problems,9.3,S15,Chest & respiratory problems,2023-04
Support to ambulance staff,S25 Gastrointestinal problems,9.3,S25,Gastrointestinal problems,2023-04
Managers,S98 Other known causes - not elsewhere classified,9.3,S98,Other known causes - not elsewhere classified,2023-04
Other staff or those with unknown classification,S16 Headache / migraine,9.2,S16,Headache / migraine,2023-04
Specialty Registrar,S98 Other known causes - not elsewhere classified,9.1,S98,Other known causes - not elsewhere classified,2023-04
Foundation Doctor Year 2,S99 Unknown causes / Not specified,9.1,S99,Unknown causes / Not specified,2023-04
Staff Grade,S13 Cold Cough Flu - Influenza,9,S13,Cold Cough Flu - Influenza,2023-04
Support to ST&T staff,S13 Cold Cough Flu - Influenza,9,S13,Cold Cough Flu - Influenza,2023-04
Support to ST&T staff,S12 Other musculoskeletal problems,8.9,S12,Other musculoskeletal problems,2023-04
All staff groups,S13 Cold Cough Flu - Influenza,8.9,S13,Cold Cough Flu - Influenza,2023-04
Foundation Doctor Year 1,S98 Other known causes - not elsewhere classified,8.9,S98,Other known causes - not elsewhere classified,2023-04
All staff groups,S12 Other musculoskeletal problems,8.8,S12,Other musculoskeletal problems,2023-04
Hospital Practitioner / Clinical Assistant,S13 Cold Cough Flu - Influenza,8.8,S13,Cold Cough Flu - Influenza,2023-04
Other and Local HCHS Doctor Grades,S12 Other musculoskeletal problems,8.7,S12,Other musculoskeletal problems,2023-04
Senior managers,S17 Benign and malignant tumours cancers,8.7,S17,Benign and malignant tumours cancers,2023-04
Associate Specialist,S27 Infectious diseases,8.5,S27,Infectious diseases,2023-04
Central functions,S13 Cold Cough Flu - Influenza,8.4,S13,Cold Cough Flu - Influenza,2023-04
Nurses & health visitors,S12 Other musculoskeletal problems,8.3,S12,Other musculoskeletal problems,2023-04
"Support to doctors, nurses & midwives",S13 Cold Cough Flu - Influenza,8.3,S13,Cold Cough Flu - Influenza,2023-04
Ambulance staff,S11 Back Problems,8.2,S11,Back Problems,2023-04
Support to clinical staff,S13 Cold Cough Flu - Influenza,8.2,S13,Cold Cough Flu - Influenza,2023-04
Specialty Doctor,S12 Other musculoskeletal problems,8.1,S12,Other musculoskeletal problems,2023-04
Midwives,S12 Other musculoskeletal problems,8.1,S12,Other musculoskeletal problems,2023-04
Support to clinical staff,S25 Gastrointestinal problems,8.1,S25,Gastrointestinal problems,2023-04
Consultant,S99 Unknown causes / Not specified,8.1,S99,Unknown causes / Not specified,2023-04
Ambulance staff,S25 Gastrointestinal problems,8,S25,Gastrointestinal problems,2023-04
"Support to doctors, nurses & midwives",S25 Gastrointestinal problems,8,S25,Gastrointestinal problems,2023-04
Associate Specialist,S98 Other known causes - not elsewhere classified,8,S98,Other known causes - not elsewhere classified,2023-04
