"month","first_dose","second_dose","third_dose"
"2020-12",74000,0,0
"2021-01",814000,948,0
"2021-02",236800,41934,0
"2021-03",144783,334738,0
"2021-04",28678,513845,0
"2021-05",3209,273577,0
"2021-06",14137,97948,0
"2021-07",21687,26295,0
"2021-08",21345,10156,0
"2021-09",8880,17760,350138
"2021-10",7400,13320,398248
"2021-11",8880,11840,167363
"2021-12",11840,11840,199800
"2022-01",14800,7400,42920
"2022-02",1480,4440,11840
"2022-03",4440,10360,17760
"2022-04",0,1480,5920
"2022-05",0,1480,5920
"2022-06",0,0,1480
"2022-07",0,0,2960
"2022-08",0,0,0
