Month,England
April 2009,3.97
May 2009,4.04
June 2009,4.13
July 2009,4.66
August 2009,4.28
September 2009,4.21
October 2009,4.69
November 2009,4.75
December 2009,4.66
January 2010,4.81
February 2010,4.42
March 2010,4.21
April 2010,3.91
May 2010,3.9
June 2010,3.91
July 2010,3.96
August 2010,3.83
September 2010,4.07
October 2010,4.28
November 2010,4.32
December 2010,4.95
January 2011,4.64
February  2011,4.07
March  2011,3.93
April 2011,3.73
May 2011,3.69
June 2011,3.9
July 2011,3.97
August 2011,3.92
September 2011,4.03
October 2011,4.27
November 2011,4.43
December 2011,4.41
January 2012,4.49
February 2012,4.51
March 2012,4.2
April 2012,4.03
May 2012,4.15
June 2012,3.97
July 2012,4.19
August 2012,4.04
September 2012,4.07
October 2012,4.44
November 2012,4.53
December 2012,4.65
January 2013,4.77
February 2013,4.36
March 2013,4.13
April 2013,3.98
May 2013,3.78
June 2013,3.8
July 2013,3.87
August 2013,3.8
September 2013,3.94
October 2013,4.17
November 2013,4.23
December 2013,4.34
January 2014,4.44
February 2014,4.3
March 2014,4.04
April 2014,3.95
May 2014,3.85
June 2014,3.95
July 2014,4.08
August 2014,3.98
September 2014,4.15
October 2014,4.42
November 2014,4.47
December 2014,4.78
January 2015,4.72
February 2015,4.42
March 2015,4.18
April 2015,3.99
May 2015,3.9
June 2015,3.93
July 2015,3.98
August 2015,3.92
September 2015,4,00
October 2015,4.24
November 2015,4.29
December 2015,4.39
January 2016,4.49
February 2016,4.42
March 2016,4.21
April 2016,4.01
May 2016,3.84
June 2016,3.94
July 2016,4.04
August 2016,3.92
September 2016,3.99
October 2016,4.3
November 2016,4.46
December 2016,4.55
January 2017,4.66
February 2017,4.29
March 2017,3.93
April 2017,3.69
May 2017,3.84
June 2017,3.85
July 2017,4.02
August 2017,4,00
September 2017,3.99
October 2017,4.25
November 2017,4.43
December 2017,4.61
January 2018,5.03
February 2018,4.45
March 2018,4.05
April 2018,3.83
May 2018,3.79
June 2018,3.9
July 2018,4.09
August 2018,4.05
September 2018,4.12
October 2018,4.34
November 2018,4.46
December 2018,4.51
January 2019,4.77
February 2019,4.51
March 2019,4.08
April 2019,4.06
May 2019,4.01
June 2019,4.12
July 2019,4.23
August 2019,4.14
September 2019,4.25
October 2019,4.6
November 2019,4.73
December 2019,4.86
January 2020,4.81
February 2020,4.51
March 2020,5.36
April 2020,6.2
May 2020,4.72
June 2020,4.04
July 2020,3.88
August 2020,3.9
September 2020,4.19
October 2020,4.52
November 2020,4.92
December 2020,5.09
January 2021,5.75
February 2021,4.65
March 2021,3.99
April 2021,4.06
May 2021,4.34
June 2021,4.63
July 2021,5.07
August 2021,5.14
September 2021,5.38
October 2021,5.68
November 2021,5.61
December 2021,6.2
January 2022,6.72
February 2022,5.63
March 2022,6.04
April 2022,5.79
May 2022,4.91
June 2022,5.23
July 2022,6.06
August 2022,5.02
September 2022,5.03
October 2022,5.61
November 2022,5.46
December 2022,6.3
January 2023,5.34
February 2023,5.01
March 2023,4.95
April 2023,4.52
May 2023,4.47
June 2023,4.52
July 2023,4.77
August 2023,4.89
September 2023,4.99
October 2023,5.33
November 2023,5.3
December 2023,5.51
January 2024,5.48
February 2024,5.1
March 2024,4.74
April 2024,4.76
May 2024,4.71
June 2024,4.87
July 2024,5.2
August 2024,4.79
September 2024,4.96
October 2024,5.41
November 2024,5.43
December 2024,5.74
January 2025,5.71
February 2025,5.26
March 2025,4.88
April 2025,4.79
May 2025,4.7
June 2025,4.93
July 2025,5.08
August 2025,5.07
September 2025,5.29
October 2025,5.67
