"month","first_dose","second_dose","third_dose"
"2020-12",74000,0,0
"2021-01",814000,5403,0
"2021-02",236800,132310,0
"2021-03",144783,499875,0
"2021-04",28678,413555,0
"2021-05",3209,168949,0
"2021-06",14137,53788,0
"2021-07",21687,13154,0
"2021-08",21345,12405,0
"2021-09",8880,17760,423792
"2021-10",7400,13320,366958
"2021-11",8880,11840,119905
"2021-12",11840,11840,199800
"2022-01",14800,7400,42920
"2022-02",1480,4440,11840
"2022-03",4440,10360,17760
"2022-04",0,1480,5920
"2022-05",0,1480,5920
"2022-06",0,0,1480
"2022-07",0,0,2960
"2022-08",0,0,0
