"scenario","n","rmse","mae","bias","corr"
"vax_harm_1400",82,465.5,331.6,-98.1,0.694
"vax_harm_1200",82,482.2,352.3,-160.4,0.685
"vax_harm_1000",82,511.8,384.9,-222.7,0.669
"vax_harm_800",82,552.2,429.7,-284.9,0.644
"attenuating_VE0",82,783.7,633.4,-535.5,0.46
"attenuating_VE30",82,785.2,632.6,-542.8,0.469
"attenuating_VE60",82,787.1,632.2,-548.6,0.475
"attenuating_VE95",82,789.2,632.2,-553.3,0.479
"static_VE30",82,1083.9,549.5,243.9,0.258
"static_VE60",82,1118.5,610,-52.1,0.135
"static_VE0",82,1174.3,708.4,574.1,0.369
"static_VE95",82,1223.9,808.7,-293.7,0.021
"exponential_VE95",82,1424.5,780.6,78.5,-0.045
"exponential_VE60",82,1600.3,1094,986.9,0.214
"exponential_VE30",82,2422.8,1982.4,1939.6,0.378
"exponential_VE0",82,3495.9,2966.4,2923.5,0.44
